child_dialect_count	child_family_count	child_language_count	family_pk	father_pk	hid	id	latitude	longitude	longitude	name	pk	Bantu_status	Ethnologue_Population	Ethnologue_L1	Ethnologue_L2	L2_extra_source_if_not_ethnologue	Num_of_neighbours_within_50k	tree_name	Guthrie	presence_in_Grollemund	comments_Grollemund_tree	level_of_description
0	0	0	104955	106583	bzm	bolo1263	2.46327	19.6181	196.181	Bolondo	29638	Narrow Bantu	"3,000 (1983 census)."	3000			3	C302_Bolondo	C302	1		
0	0	0	104955	106839	bxg	bang1353	3.3466	28.0445	280.445	Bangala	29548	Narrow Bantu	"Few L1 speakers. L2 users: 3,500,000 (1991 UBS)."	10	3500000		1		C30A	0		
0	0	0	104955	106839	lin	ling1263	1.40324	19.7829	197.829	Lingala	29547	Narrow Bantu	"2,040,000 in Democratic Republic of the Congo (2000). Total users in all countries: 2,146,210."	2040000	7000000	Bentz	1	C36d_Lingala	C30b	1		
0	0	0	104955	106839	lin2	ling1263	1.40324	19.7829	197.829	Lingala (Bokamba)	29547	Narrow Bantu	"2,040,000 in Democratic Republic of the Congo (2000). Total users in all countries: 2,146,210."	2040000?	7000000?	Bentz	1	C36d_Lingala	C30b	1		
5	0	0	104955	29604	mmz	maba1270	2.11942	20.8759	208.759	Mabaale	29606	Narrow Bantu	"42,000 (2002)."	42000			0		C31	0		
0	0	0	104955	29604	ndw	ndob1238	1.32539	18.6151	186.151	Ndobo	29605	Narrow Bantu	"10,200 (2000)."	10200			2		C31	0		
4	0	0	104955	106804	biz	balo1261	0.93777	18.1266	181.266	Baloi	29582	Narrow Bantu	"20,000 (2002)."	20000			2		C31	0		no description
0	0	0	104955	106805	lie	liki1240	1.75106	19.0222	190.222	Likila	29618	Narrow Bantu	"8,400 (2002)."	8400			3		C31	0		
0	0	0	104955	106832	bni	bang1354	-0.87437	17227	17227	Bangi	29587	Narrow Bantu	"50,900 in Democratic Republic of the Congo (2000). Total users in all countries: 118,740."	50900			0	C32_Bobangi	C32	1		
0	0	0	104955	106804	mow	moic1236	-1.72413	16.4556	164.556	Moi (Congo)	29533	Narrow Bantu	"3,020 (2000)."	3020			1		C32	0		no description
3	0	0	104955	106805	liz	libi1244	1.97729	18.8886	188.886	Libinza	29613	Narrow Bantu	"10,000 (1986 SIL)."	10000			6		C321	0		
0	0	0	104955	106266	szg	seng1278	-1.92256	17.2965	172.965	Sengele	29636	Narrow Bantu	"17,000 (2002)."	17000			1		C33	0		
3	0	0	104955	106802	skt	saka1287	-2.85653	17.9669	179.669	Sakata	29529	Narrow Bantu	"75,000 (1982 UBS)."	75000			0	C34_Sakata	C34	1		
0	0	0	104955	106429	bli	boli1255	-1.38362	18.0975	180.975	Bolia	29637	Narrow Bantu	"100,000 (2000)."	100000			1		C35	0		
7	0	0	104955	106429	nto	ntom1248	-1.99062	18265	18265	Ntomba	29534	Narrow Bantu	"100,000 (1980 UBS)."	100000			0		C35	0		
14	0	0	104955	106267	lse	luse1252	0.16988	18.3991	183.991	Lusengo	29551	Narrow Bantu	"42,000 (2002)."	42000			0		C36	0		
0	0	0	104955	106805	bkt	bolo1262	0.83463	18.4555	184.555	Boloki	29545	Narrow Bantu	"4,200.00"	4200			2		C36e	0		
0	0	0	104955	106583	ndl	ndol1238	2.15101	19.4087	194.087	Ndolo	29549	Narrow Bantu	"8,000 (1983 census)."	8000			4	C36g_Mosange	C36g	1		
4	0	0	104955	106582	bja	budz1238	2.19951	22.6107	226.107	Budza	29628	Narrow Bantu	"226,000 (1985 census)."	226000			0	C37_Ebudza	C37	1		
0	0	0	104955	106578	tmv	temb1272	2.0246	20.3685	203.685	Tembo (Motembo)	29633	Narrow Bantu	"5,000 (1986 SIL)."	5000			0		C37	0		
3	0	0	104955	106565	pae	pagi1243	3.15636	22.1212	221.212	Pagibete	29640	Narrow Bantu	"28,000 (2000 SIL). 6,000 Momveda, 4,500 Mongbapele."	28000			0	C401_Pakabete	C401	1		
2	0	0	104955	106415	kty	kang1286	3.47633	24.8202	248.202	Kango (Bas-U_l_ District)	29644	Narrow Bantu	"5,900 (2002)."	5900			0		C403	0		no adequate description
3	0	0	104955	106581	ngc	ngom1268	1.45357	20.1415	201.415	Ngombe (Democratic Republic of Congo)	29567	Narrow Bantu	"150,000 (Welmers 1971a)."	150000			1	C41_Ngombe	C41	1		
4	0	0	104955	106432	bws	bomb1262	2.40195	18.7841	187.841	Bomboma	29572	Narrow Bantu	"23,000 (1983 census)."	23000			4		C411	0		
0	0	0	104955	106580	bmg	bamw1238	2.16773	19.1644	191.644	Bamwe	29571	Narrow Bantu	"20,000 (1983 census)."	20000			5	C412_Libobi	C412	1	"3, C142_Mondongo; C36g_Monyongo"	
4	0	0	104955	106580	dzn	dzan1238	2.24195	19.0022	190.022	Dzando	29524	Narrow Bantu	"6,000 (1983 census)."	6000			5		C413	0		no description
4	0	0	104955	106581	lgz	lige1238	2.86168	22.4936	224.936	Ligenza	29647	Narrow Bantu	"43,000 (1986 SIL)."	43000			0		C414	0		
0	0	0	104955	106578	bwl	bwel1238	-1.63062	26.4508	264.508	Bwela	29634	Narrow Bantu	"8,400 (2002)."	8400			0	C42_Ebwela	C42	1		
5	0	0	104955	106565	bww	bwaa1238	2.5957	25.2514	252.514	Bwa	29657	Narrow Bantu	"200,000 (1994 SIL)."	200000			0	C44_Bwa	"C43, C44"	1	"3, C43A_Baati; C401_Babati_1919"	
0	0	0	104955	106578	bbm	baba1263	1.79475	23.5851	235.851	Babango	29546	Narrow Bantu	"2,550 (2000)."	2550			0		C441	0		
4	0	0	104955	106415	agh	ngel1238	1.81314	24.8754	248.754	Ngelima	29652	Narrow Bantu	"13,600 (2000)."	13600			0		C45	0		
0	0	0	104955	106097	zms	mbes1238	1.6207	22.8389	228.389	Mbesa	29673	Narrow Bantu	"8,400 (2002)."	8400			0		C51	0		no description
0	0	0	104955	106584	soc	sode1235	1.25037	23.6907	236.907	So (Democratic Republic of Congo)	29669	Narrow Bantu	"6,000 (Welmers 1971a)."	6000			1	C52_Soko	C52	1	"2, C52_Soko_1919"	
4	0	0	104955	106437	pof	poke1238	0.73538	23.8972	238.972	Poke	29674	Narrow Bantu	"46,000 (Welmers 1971a)."	46000			1		C53	0		IBL ordered
0	0	0	104955	106436	loo	lomb1260	0.88267	24.6862	246.862	Lombo	29670	Narrow Bantu	"10,000 (Welmers 1971a)."	10000			1	C54_Turumba_1919	C54	1	old version of lang	unsure about source
0	0	0	104955	106436	khy	kele1255	0.36906	24.3098	243.098	Kele (Democratic Republic of Congo)	29672	Narrow Bantu	"160,000 (1980 UBS)."	160000			0	C55_Lokele	"C55, C56"	1		
13	0	0	104955	106681	lol	mong1338	-1.54228	20.4259	204.259	Mongo (Atlantic-Congo)	29589	Narrow Bantu	"400,000 (1995)."	400000			0	C61_Mongo	C61 C611 C36h	1	"2, C61E_Konda"	data to be entered during the weekend
0	0	0	104955	106681	nxd	ngan1302	-0.14363	22.6231	226.231	Ngando (Democratic Republic of Congo)	29664	Narrow Bantu	"220,000 (1995)."	220000			1		"C63, C62"	0		
0	0	0	104955	107693	tll	tete1250	-4.29314	24546	24546	Tetela	29512	Narrow Bantu	"750,000 (1991 UBS)."	750000			0	C71_Tetela	C71	1		
0	0	0	104955	107693	hba	hamb1245	-2.49047	24.2299	242.299	Hamba (Democratic Republic of Congo)	30910	Narrow Bantu	"13,000 (2002)."	13000			0		C71	0		no description
0	0	0	104955	106452	ttl	tote1238	-16.9575	24.3751	243.751	Totela	30743	Narrow Bantu	"1,120 (2010 census)."	1120			0		C71	0		no description
0	0	0	104955	107693	ksv	kusu1252	-3.61459	25.2923	252.923	Kusu	29503	Narrow Bantu	"26,000 (Welmers 1971a)."	26000			0		C72	0		IBL ordered
6	0	0	104955	106757	nkw	nkut1238	-3.67432	22.6802	226.802	Nkutu	29505	Narrow Bantu	"40,000 (Nida 1972)."	40000			0		C73	0		
0	0	0	104955	106754	yel	yela1238	-2.46204	22.5891	225.891	Yela	29504	Narrow Bantu	"33,000 (Voegelin and Voegelin 1977)."	33000			0		"C74, C75"	0		
1	0	0	104955	106754	oml	ombo1238	-2.32162	25.1748	251.748	Ombo	29666	Narrow Bantu	"8,400 (2002)."	8400			1	C76_Ombo	C76	1		wait for IBL
0	0	0	104955	106754	dez	deng1250	-3.26337	21.4194	214.194	Dengese	29683	Narrow Bantu	"8,600 (2000)."	8600			0	C81_Dengese	C81	1		
0	0	0	104955	106757	soe	song1305	-3.81041	21.4223	214.223	Songomeno	29682	Narrow Bantu	"50,000 (Barrett 1982)."	50000			0		C82	0		
5	0	0	104955	106831	buf	bush1247	-4.69463	21.4556	214.556	Bushoong	29685	Narrow Bantu	"155,000 (2000)."	155000			0	C83_Bushong	C83	1		
0	0	0	104955	106831	lel	lele1265	-4.94672	20.5674	205.674	Lele (Democratic Republic of Congo)	29684	Narrow Bantu	"26,000 (Welmers 1971a)."	26000			0		C84	0		
0	0	0	104955	106831	won	wong1247	-5.73837	20.5054	205.054	Wongo	29681	Narrow Bantu	"12,700 (2000)."	12700			0	C85_Wongo	C85	1		no description
8	0	0	104955	106430	mdq	mbol1247	-0.57181	24.0443	240.443	Mbole	30972	Narrow Bantu	"100,000 (Welmers 1971a)."	100000			0	D11_Mbole	D11	1		
0	0	0	104955	105908	lej	leng1258	-1.95874	25.3343	253.343	Lengola	30971	Narrow Bantu	"100,000 (1998)."	100000			1	D12_Lengola	D12	1		
0	0	0	104955	106470	zmq	mitu1240	-1.57031	25104	25104	Mituku	30970	Narrow Bantu	"50,900 (2000)."	50900			0	D13_Metoko	D13	1		
0	0	0	104955	106109	gey	enya1247	-4.67337	26.7496	267.496	Enya	30981	Narrow Bantu	"15,000 (2000)."	15000			0	D14_Enya	D14	1		
3	0	0	104955	106250	lik	lika1243	2.13777	27.6088	276.088	Lika	30906	Narrow Bantu	"60,000 (1989 SIL). 57,000 in Wamba Territory, 3,000 in Rungu Territory."	60000			1	D201_Liko	D201	1		
4	0	0	104955	105904	bcp	bali1274	1.1807	26.5941	265.941	Bali (Democratic Republic of Congo)	30928	Narrow Bantu	"42,000 (1987 UBS). No monolinguals."	42000			0	D21_Baali	D21	1		no adequate description
2	0	0	104955	107689	bip	bila1255	1.16839	28.7626	287.626	Bila	30941	Narrow Bantu	"40,000 (1993 SIL)."	40000			1	D311_Bila	"D211, D311, D313"	1		
0	0	0	104955	106414	kzy	kang1285	1.59855	27.0186	270.186	Kango (Tshopo District)	30947	Narrow Bantu	"2,000 (1998 T. Harvey)."	2000			0	D211_Kango	"D211, D311, D313"	1		no adequate description
3	0	0	104955	106249	rwm	amba1263	0.81206	30.0014	300.014	Amba (Uganda)	30958	Narrow Bantu	"35,600 in Uganda (2002 census), decreasing. Census based on tribal affiliation. Total users in all countries: 40,100."	40100			4	*D20B_Vamba_1919	D22	0	old?	
0	0	0	104955	106414	kmw	komo1260	-0.76333	26.7144	267.144	Komo (Democratic Republic of Congo)	30937	Narrow Bantu	"400,000 (1998 SIL)."	400000			0	D23_Kibira-Kumu_1919	D23	1	old version of lang	
3	0	0	104955	106607	sod	song1300	-2.21871	26.3477	263.477	Songoora	30894	Narrow Bantu	"1,300 (Welmers 1971a)."	1300			0	D24_Songola	D24	1		
6	0	0	104955	107691	lea	lega1249	-3.83196	27.1424	271.424	Lega-Shabunda	30920	Narrow Bantu	"400,000 (1982 UBS)."	400000			0	D25_Lega	D25 D251	1		
6	0	0	104955	106608	lgm	lega1250	-3.39007	28.2621	282.621	Lega-Mwenga	30913	Narrow Bantu	"44,900 (2000)."	44900			0		D25 D251	0		
0	0	0	104955	107691	khx	kanu1278	-1.82559	28.1017	281.017	Kanu	30911	Narrow Bantu	"3,500 (Welmers 1971a)."	3500			0		"D25, D251"	0		no description
0	0	0	104955	106112	ktf	kwam1250	-1.53712	27.4633	274.633	Kwami	30899	Narrow Bantu	400	400			0		"D25, D251"	0		no description
5	0	0	104955	106109	zmb	zimb1251	-4013	26.6083	266.083	Zimba	30900	Narrow Bantu	"120,000 (1994 census)."	120000			0		D26	0		
6	0	0	104955	106587	bnx	bang1350	-4.31464	27.2438	272.438	Bangubangu	30632	Narrow Bantu	"171,000 (1995 SIL). 85,000 Bangubangu, 30,000 Mikebwe, 20,000 Kasenga, 32,000 Nonda, 4,000 Hombo."	171000			0		D27	0		
0	0	0	104955	106700	hoo	holo1240	-5.37545	28.3274	283.274	Holoholo	30898	Narrow Bantu	"15,500 (2002)."	15500			1	D28_Holoholo	D28	1		
0	0	0	104955	106416	kbj	kari1306	5.03525	25.7491	257.491	Kari (Democratic Republic of Congo)	30029	Narrow Bantu	"1,000. May be nearly extinct (Dimmendaal and Voeltz 2007)."	1000			0		D301	0		
2	0	0	104955	106567	bqu	bogu1241	4.49213	29.1344	291.344	Boguru	30030	Narrow Bantu		NA			0		D302	0		no description
0	0	0	104955	106566	myc	maye1238	-1.10038	17.8225	178.225	Mayeka	30027	Narrow Bantu	"21,000 (2004). Ethnic population: 25,500 (2000)."	21000			1		"D303, D307"	0		no description
0	0	0	104955	106566	nbd	ngbi1238	3.27251	23.5669	235.669	Ngbinda	30034	Narrow Bantu	"4,200 (2002)."	4200			0		"D303, D307"	0		no description
0	0	0	104955	106417	hom	homa1239	4.97912	28.0039	280.039	Homa	30957	Narrow Bantu	No known L1 speakers. No remaining speakers as of 1975.	0			0	*D304_Homa_1919	D304	1	1919 version of language	
0	0	0	104955	106416	nyc	nyan1303	2.97634	29.1805	291.805	Nyanga-li	30026	Narrow Bantu	"69,000 (2002). 21,000 Gbati-ri (2002)."	69000			3	*D305_Nyanga-li	D305 D306	1	ancient variant?	no description
0	0	0	104955	106567	boy	bodo1272	6	26	26	Bodo (Central African Republic)	30945	Narrow Bantu	15 (1996).	15			0		D308	0		
1	0	0	104955	106414	bhy	bhel1238	0.24553	28.6681	286.681	Bhele	30934	Narrow Bantu	"15,000 (1989)."	15000			0		D31	0		no description
0	0	0	104955	107689	kkq	kaik1247	0.75068	28.7394	287.394	Kaiku	30938	Narrow Bantu	"13,000 (2002)."	13000			1		D312	0		no description
8	0	0	104955	106117	buu	budu1250	2.00501	27951	27951	Budu	30948	Narrow Bantu	"180,000 (1991 SIL)."	180000			1	D313_Mbuttu_1919	D32	1	"old? 3, *D308_Ebodo; *D308_Bodo2"	
0	0	0	104955	106249	brf	bera1259	1.50054	30.0293	300.293	Bera	30940	Narrow Bantu	"120,000 (1992 SIL)."	120000			2	D32_Bira	D32	1	"2, D32_Bira_Bunia"	IBL ordered
0	0	0	104955	106117	nlj	nyal1250	1.92098	30.0201	300.201	Nyali	30944	Narrow Bantu	"43,000 (1993 SIL)."	43000			2	D33_Nyali	D33	1		
0	0	0	104955	106117	vau	vanu1242	0.93847	29.8135	298.135	Vanuma	30946	Narrow Bantu	"6,700 (1993 SIL)."	6700			4	D331_Bvanuma	D331	1		no description
0	0	0	104955	106117	ndk	ndak1241	1.53341	27.9693	279.693	Ndaka	30962	Narrow Bantu	"25,000 (1994 SIL)."	25000			1	D333_Ndaaka	D333	1		no description
0	0	0	104955	106117	zmw	mbod1238	1.11602	28018	28018	Mbo (Democratic Republic of Congo)	30936	Narrow Bantu	"11,000 (1994 SIL)."	11000			1	D334_Mbo	D334	1		no description
0	0	0	104955	106117	bkf	beek1238	3.18438	29.9842	299.842	Beeke	30927	Narrow Bantu	"1,000 (1994 SIL)."	1000			2		D335	0		no description
0	0	0	104955	106416	jgb	ngbe1238	3.60447	27.6529	276.529	Ngbee	30036	Narrow Bantu	No known L1 speakers.	0			0		D336	0		no description
4	0	0	104955	106112	nyj	nyan1304	-1.29357	28.3155	283.155	Nyanga	30963	Narrow Bantu	"150,000 (1994 census)."	150000			0	D43_Nyanga	D43	1		
0	0	0	104955	106607	bmb	bemb1255	-4.49057	29.0507	290.507	Bembe	30984	Narrow Bantu	"252,000 in Democratic Republic of the Congo (1991 UBS)."	252000			1		D54	0		
0	0	0	104955	106700	byi	buyu1239	-5.41806	28.5545	285.545	Buyu	30983	Narrow Bantu	"10,000 (2002)."	10000			1	D55_Buyu	D55	1		
0	0	0	104955	106460	soz	temi1247	-2.19303	35.8035	358.035	Temi	30093	Narrow Bantu	"30,000 (2002 SIL). Ethnic population: 30,000."	30000			0	E46_Sonjo	E46	1		
5	0	0	104955	106595	kik	kiku1240	-0.29005	36719	36719	Kikuyu	30048	Narrow Bantu	"6,623,000 (2009 census), increasing."	6623000			0	E51_Kikuyu	E51	1		
2	0	0	104955	106595	ebu	embu1241	-0.62822	37.5933	375.933	Embu	30045	Narrow Bantu	"324,000 (2009 census), increasing."	324000			1	E52_Embu	E52	1		
0	0	0	104955	106459	cuh	chuk1274	-0.27405	37.6116	376.116	Chuka	30067	Narrow Bantu	"70,000 (1980 SIL), increasing."	70000			2	E541_Chuka	E53 E531 E54 E541	1		
6	0	0	104955	106459	mer	meru1245	0.26484	37.7396	377.396	Meru	30060	Narrow Bantu	"1,660,000 (2009 census), increasing."	1660000			2	E53_Meru	E53 E531 E54 E541	1	"7, E53_Igoji ; E53_Miutini ; E53_Imenti ; E53_Tigania ; E53_Meruimenti ; E53_Merutig"	
2	0	0	104955	106595	mws	mwim1241	-0.11968	37.5939	375.939	Mwimbi-Muthambi	30068	Narrow Bantu	"70,000 (1980 SIL), increasing."	70000			2	E531_Muthambi	E53 E531 E54 E541	1	"2, E531_Mwimbi"	
4	0	0	104955	106459	thk	thar1283	-0.13221	38073	38073	Tharaka	30055	Narrow Bantu	"176,000 (2009 census), increasing. No monolinguals."	176000			0	E54_Tharaka	E53 E531 E54 E541	1		
4	0	0	104955	106458	kam	kamb1297	-1.60827	37.9532	379.532	Kamba (Kenya)	30039	Narrow Bantu	"3,893,000 (2009 census), increasing. L2 users: 600,000."	3893000	600000		0	E55_Kamba	E55 E56	1	"3, E55_Kamba_Mach ; E55_Kamba_Kitu"	
0	0	0	104955	106458	dhs	dhai1238	-4.81209	38818	38818	Dhaiso	30044	Narrow Bantu	"5,000 (1999)."	5000			3	E56_Daiso	E55 E56	1		
5	0	0	104955	106694	jmc	mach1266	-3.29385	37.0703	370.703	Machame	30146	Narrow Bantu	"300,000 (1992 UBS), increasing."	300000			2	E621B_Machame	E621	1	"3, E621C_Siha ; E621D_Kibosho"	
1	0	0	104955	106694	rwk	rwaa1238	-3.42862	36.7686	367.686	Rwa	30143	Narrow Bantu	"90,000 (1987). 50,000 Kihai."	90000			2		E621	0		
1	0	0	104955	106693	old	moch1256	-3.33743	37.3357	373.357	Mochi	30152	Narrow Bantu	"597,000 (2000)."	597000			7	E622A_Kimochi	E622	1		
4	0	0	104955	106693	vun	vunj1238	-3.42531	37.5847	375.847	Vunjo	30137	Narrow Bantu	"300,000 (1992 UBS), increasing."	300000			5	E622C_Vunjo	E622	1	"3, E622C_Lema ; E622C_Mamba"	
4	0	0	104955	106602	rof	romb1244	-3.07772	37.5382	375.382	Rombo	30132	Narrow Bantu		NA			6	E623_Mkuu	E623	1	"3, E623D_Keni ; E623A_Kiseri"	
0	0	0	104955	106693	hka	kahe1238	-3.51412	37.5759	375.759	Kahe	30142	Narrow Bantu	"2,700 (1987)."	2700			5	E64_Kahe	E64	1		
0	0	0	104955	30131	gwe	gwen1239	-3.68407	37.6827	376.827	Gweno	30154	Narrow Bantu	"Ethnic population: 2,500."	2500			3	E65_Gweno	E65	1		
0	0	0	104955	106604	mlk	ilwa1237	-0.66322	39793	39793	Ilwana	30095	Narrow Bantu	"16,800 (2009 census), increasing."	16800			0	E701_Elwana	E701	1		
6	0	0	104955	106603	pkb	poko1261	-2.31587	40.2897	402.897	Pokomo	30096	Narrow Bantu	"95,000 (2009 census), increasing."	95000			1	E71A_Upper_Pokomo	E71	1		
0	0	0	104955	106764	coh	chon1287	-3.79746	39.7553	397.553	Chonyi-Dzihana-Kauma	30113	Narrow Bantu	"184,000 (2009 census), increasing. Chonyi 149,000, Jibana 35,200."	184000			0		E72 E73 E731 E732	0		
0	0	0	104955	106765	dig	digo1243	-4.62101	39.1752	391.752	Digo	30115	Narrow Bantu	"313,000 in Kenya (2009 census), increasing. Total users in all countries: 401,000."	313000			2	E73_Digo	E72 E73 E731 E732	1		
0	0	0	104955	106764	dug	duru1249	-4.09629	39322	39322	Duruma	30112	Narrow Bantu	"397,000 (2009 census), increasing."	397000			0		E72 E73 E731 E732	0		
7	0	0	104955	106764	nyf	giry1241	-3.30638	39.6648	396.648	Giryama	30104	Narrow Bantu	"944,000 (2009 census), increasing. 752,000 Giryama; 25,400 Kambe; 98,700 Rabai; 14,500 Ribe; 52,900 Kauma."	944000			0	E72a_Giryama	E72 E73 E731 E732	1		
0	0	0	104955	106765	seg	sege1246	-5.00659	39.1225	391.225	Segeju	30114	Narrow Bantu	"7,000, decreasing. Ethnic population: 15,000."	7000			2		E72 E73 E731 E732	0		
6	0	0	104955	30116	tga	saga1262	-3.60164	38.5037	385.037	Sagalla	30117	Narrow Bantu	"100,000 (1992 UBS)."	100000			1		E74 E741 G21	0		
6	0	0	104955	30116	dav	tait1250	-3.79347	38.5725	385.725	Taita	30124	Narrow Bantu	"274,000 (2009 census), increasing."	274000			1	E74a_Dawida	E74 E741 G21	1		
0	0	0	104955	106466	tvs	tave1240	-3.41822	37.7061	377.061	Taveta	30651	Narrow Bantu	"21,000 (2009 census), increasing."	21000			5	E74a_Tuveta	E74 E741 G21	1		
0	0	0	104955	106594	bdp	bend1258	-6.22082	30.5926	305.926	Bende	30869	Narrow Bantu	"27,000 (1999)."	27000			0	F12_Bende	F10 F11 F12	1		
0	0	0	104955	106594	tny	tong1320	-6.43051	30.0807	300.807	Tongwe	30879	Narrow Bantu	"13,000 (2001). Ethnic population: 31,600 (2000)."	13000			0		F10 F11 F12	0		no description
2	0	0	104955	106468	suk	suku1261	-3.16082	32.8765	328.765	Sukuma	30882	Narrow Bantu	"7,300,000 (2013 J. Leclerc), increasing."	7300000			0	F21_Sukuma	F21	1	"2, F21_Ntuzu"	
0	0	0	104955	106468	kcz	kono1265	-6.51503	32.1803	321.803	Konongo	30881	Narrow Bantu	"51,000 (1987)."	51000			0		F22	0		
3	0	0	104955	106468	nym	nyam1276	-5.08559	32.9445	329.445	Nyamwezi	30887	Narrow Bantu	"1,320,000 (2013 J. Leclerc). 73% are in the traditional area."	1320000			0	F22_Nyamwezi	F22	1		
0	0	0	104955	106295	suw	sumb1240	-3.47335	31.9457	319.457	Sumbwa	30891	Narrow Bantu	"191,000 (1987)."	191000			0	F23_Sumbwa	F23	1		
0	0	0	104955	106468	kiv	kimb1242	-7.23023	33.6445	336.445	Kimbu	30885	Narrow Bantu	"78,000 (1987), decreasing."	78000			0	F24_Kimbu	F24	1		
0	0	0	104955	106108	wun	bung1265	-8.32587	32.8801	328.801	Bungu	30886	Narrow Bantu	"36,000 (1987)."	36000			1	F25_Bungu	F25	1		
1	0	0	104955	106113	nim	nila1242	-4.50002	34.3068	343.068	Nilamba	30851	Narrow Bantu	"613,000 (2013 J. Leclerc). 50,000 Iambi."	613000			0	F31_Nyiramba	F31	1		
0	0	0	104955	106113	isn	isan1243	-3.99991	34846	34846	Isanzu	30035	Narrow Bantu	"32,400 (1987)."	32400			2		F31b	0		no description
3	0	0	104955	106113	rim	nyat1246	-5.12263	34.6657	346.657	Nyaturu	30853	Narrow Bantu	"801,000 (2013 J. Leclerc)."	801000			0	F32_Nyaturucha	F32	1	"2, F32_Nyaturuwil"	
4	0	0	104955	106110	lag	lang1320	-4.71413	35.9517	359.517	Langi	30857	Narrow Bantu	"410,000 (2007 R. Cox), increasing. Many ethnic Burunge (Chemba, Goima, and elsewhere) and some Alagwa (Kolo, Mnenya, and elsewhere) who are L1 Langi speakers. No monolinguals."	410000			1	F33_Langi	F33	1		
0	0	0	104955	106110	mgz	mbug1242	-3.75763	35.8133	358.133	Mbugwe	30862	Narrow Bantu	"24,000 (1999)."	24000			0		F34	0		
3	0	0	104955	106606	gog	gogo1263	-6.35951	35.4807	354.807	Gogo	30693	Narrow Bantu	"1,930,000 (2013 J. Leclerc), increasing."	1930000			0	G11_Gogo	G11	1		
3	0	0	104955	106467	kki	kagu1239	-6.38204	37.0534	370.534	Kagulu	30689	Narrow Bantu	"241,000 (2006 M. Petzell)."	241000			0	G12_Kagulu	G12	1		
0	0	0	104955	106466	asa	asut1235	-4.17978	37.8323	378.323	Asu (Tanzania)	30653	Narrow Bantu	"500,000 (2000). No monolinguals."	500000			0	G22_Asu	G22	1	"2, G22A_North_Pare ; G22B_South_Pare"	
0	0	0	104955	106767	ksb	sham1280	-8.5	34.17	34.17	Shambala	30652	Narrow Bantu	"664,000 (Johnstone and Mandryk 2001)."	664000			0	G23_Sambaa	G23	1		
0	0	0	104955	106767	bou	bond1247	-5.10749	38.5079	385.079	Bondei	30654	Narrow Bantu	"50,000 (2000 M. Brenzinger)."	50000			2	G24_Bondei	G24	1		
0	0	0	104955	106605	doe	doee1238	-6.25844	38.4902	384.902	Doe	30657	Narrow Bantu	"24,000 (1987)."	24000			1	G32_Doe	G301	1		
0	0	0	104955	107198	xma	mush1238	0.00689	42.6626	426.626	Mushungulu	30659	Narrow Bantu	"20,000 (1998 J. Leclerc)."	20000			0		G31 G311	0		
0	0	0	104955	107198	ziw	zigu1242	-5.61864	38.4114	384.114	Zigula	30664	Narrow Bantu	"355,000 (Johnstone 1993)."	355000			0	G31_Zigua	G31 G311	1		
0	0	0	104955	106697	cwe	kwer1261	-6.50666	38.4449	384.449	Kwere	30665	Narrow Bantu	"98,000 (1987)."	98000			1	G32_Kwere	G32	1		
0	0	0	104955	106766	zaj	zara1247	-6.87705	38.9258	389.258	Zaramo	30663	Narrow Bantu	"Few speakers (Brenzinger et al 1991). Ethnic population: 657,000 (2000)."	10			1	G33_Zaramo	G33	1		
0	0	0	104955	106768	ngp	ngul1246	-5.79734	37.6823	376.823	Ngulu	30662	Narrow Bantu	"132,000 (1987)."	132000			0	G34_Nguungulu	G34	1		
0	0	0	104955	106605	ruf	lugu1238	-6.86828	37.5557	375.557	Luguru	30660	Narrow Bantu	"692,000 (Johnstone and Mandryk 2001)."	692000			0	G35_Luguru	G35	1		
0	0	0	104955	106697	kcu	kami1256	-6.71075	37.98	37.98	Kami (Tanzania)	30656	Narrow Bantu	"16,400 (2000), decreasing."	16400			0	G36_Kami	G36	1		
0	0	0	104955	106766	kdc	kutu1263	-7.23789	37.8623	378.623	Kutu	30661	Narrow Bantu	"45,000 (1987)."	45000			0	G37_Kutu	G37	1		
0	0	0	104955	106699	vid	vidu1238	-7.52674	36.9316	369.316	Vidunda	30658	Narrow Bantu	"32,000 (1987)."	32000			0		G38	0		no description
4	0	0	104955	106699	sbm	saga1256	-6.98537	36.9153	369.153	Sagala	30666	Narrow Bantu	"79,000 (1987)."	79000			0	G39_Saghala	G39	1		
4	0	0	104955	106696	swc	cong1236	-7.2692	27.4196	274.196	Congo Swahili	30698	Narrow Bantu	"1,000 in Democratic Republic of the Congo. L2 users: 9,100,000 in Democratic Republic of the Congo (1991 UBS). Total users in all countries: 9,101,000 (as L1: 1,000; as L2: 9,100,000)."	1000	9100000		0		G42 G43	0		
4	0	0	104955	106696	wmw	mwan1247	-12.5821	40.4601	404.601	Mwani	30703	Narrow Bantu	"100,000 (2014 J. Leclerc). L2 users: 20,000."	100000	20000		0	G401_Mwani	G42 G43	1		
13	0	0	104955	106696	swh	swah1253	-8.25605	37624	37624	Swahili	30709	Narrow Bantu	"15,000,000 in Tanzania (2012), increasing. L2 users: 32,000,000 in Tanzania (2015 D. Nurse). Total users in all countries: 98,054,860 (as L1: 15,754,860; as L2: 82,300,000)."	15754860	82300000		1	G42_Swahili	G42 G43	1	"6, G41_Bajuni ; G412_Mwiini ; G42a_Amu ; G42d_Unguja ; G43_Kae"	
